id,publication_date,period_date,timestamp,location_id,cost,revenue,profit
1,2022-04-05 00:00:00.000,D,3,2022-04-06 00:00:00.000,534.1964,1112.3076,-833.962
2,2022-04-05 00:00:00.000,D,13,2022-04-06 00:00:00.000,510.3866,396.6868,261.485
3,2022-04-05 00:00:00.000,D,27,2022-04-06 00:00:00.000,894.3877,1377.3194,744.6794
4,2022-04-05 00:00:00.000,D,3,2022-04-07 00:00:00.000,1096.8286,468.2601,-458.2359
5,2022-04-05 00:00:00.000,D,13,2022-04-07 00:00:00.000,1153.8942,198.9584,-351.2313
6,2022-04-05 00:00:00.000,D,27,2022-04-07 00:00:00.000,845.3054,1192.637,-161.7964
7,2022-04-05 00:00:00.000,D,3,2022-04-08 00:00:00.000,996.9793,397.0754,532.793
8,2022-04-05 00:00:00.000,D,13,2022-04-08 00:00:00.000,1154.933,435.2634,-22.5956
9,2022-04-05 00:00:00.000,D,27,2022-04-08 00:00:00.000,702.8484,443.6062,-185.1536
10,2022-04-05 00:00:00.000,D,3,2022-04-09 00:00:00.000,1136.6353,261.5226,-676.2738
11,2022-04-05 00:00:00.000,D,13,2022-04-09 00:00:00.000,1067.6897,190.3106,-299.04
12,2022-04-05 00:00:00.000,D,27,2022-04-09 00:00:00.000,1204.129,1281.1326,-229.4413
13,2022-04-05 00:00:00.000,D,3,2022-04-10 00:00:00.000,396.7872,98.4736,-618.8341
14,2022-04-05 00:00:00.000,D,13,2022-04-10 00:00:00.000,886.8157,652.4815,-237.6657
15,2022-04-05 00:00:00.000,D,27,2022-04-10 00:00:00.000,693.8909,505.5993,-1051.9296
16,2022-04-05 00:00:00.000,D,3,2022-04-11 00:00:00.000,473.2785,349.8628,-181.7157
17,2022-04-05 00:00:00.000,D,13,2022-04-11 00:00:00.000,579.8986,718.7485,926.1034
18,2022-04-05 00:00:00.000,D,27,2022-04-11 00:00:00.000,1148.4319,1304.5361,-107.0436
19,2022-04-05 00:00:00.000,D,3,2022-04-12 00:00:00.000,858.6157,1220.7233,427.6949
20,2022-04-05 00:00:00.000,D,13,2022-04-12 00:00:00.000,1154.0287,1035.2939,-284.9801
21,2022-04-05 00:00:00.000,D,27,2022-04-12 00:00:00.000,1087.9245,498.9855,-925.7027
22,2022-04-05 00:00:00.000,W,3,2022-04-12 00:00:00.000,32.927,9320.907,-1734.828
23,2022-04-05 00:00:00.000,W,13,2022-04-12 00:00:00.000,2025.9875,705.1997,-3791.4611
24,2022-04-05 00:00:00.000,W,27,2022-04-12 00:00:00.000,7563.6027,8572.3728,-4576.4583
25,2022-04-05 00:00:00.000,W,3,2022-04-19 00:00:00.000,172.5394,6900.6927,-7342.2716
26,2022-04-05 00:00:00.000,W,13,2022-04-19 00:00:00.000,7539.2213,203.285,-8015.1511
27,2022-04-05 00:00:00.000,W,27,2022-04-19 00:00:00.000,8071.3473,3308.289,-4671.5597
28,2022-04-05 00:00:00.000,M,3,2022-05-05 00:00:00.000,1628.021,18646.6522,-33014.0598
29,2022-04-05 00:00:00.000,M,13,2022-05-05 00:00:00.000,10152.5128,34266.5794,-7115.4963
30,2022-04-05 00:00:00.000,M,27,2022-05-05 00:00:00.000,17227.6861,37215.8338,-23624.3181
31,2022-04-06 00:00:00.000,D,3,2022-04-07 00:00:00.000,164.7341,1039.547,697.2177
32,2022-04-06 00:00:00.000,D,13,2022-04-07 00:00:00.000,747.2371,244.181,269.4299
33,2022-04-06 00:00:00.000,D,27,2022-04-07 00:00:00.000,153.2767,639.8897,-868.5866
34,2022-04-06 00:00:00.000,D,3,2022-04-08 00:00:00.000,367.1675,1323.3318,337.9082
35,2022-04-06 00:00:00.000,D,13,2022-04-08 00:00:00.000,123.7317,918.5025,-379.9194
36,2022-04-06 00:00:00.000,D,27,2022-04-08 00:00:00.000,59.9926,315.5415,127.0589
37,2022-04-06 00:00:00.000,D,3,2022-04-09 00:00:00.000,296.8594,26.0876,492.3269
38,2022-04-06 00:00:00.000,D,13,2022-04-09 00:00:00.000,702.362,393.4192,917.7987
39,2022-04-06 00:00:00.000,D,27,2022-04-09 00:00:00.000,636.8857,126.5847,-984.413
40,2022-04-06 00:00:00.000,D,3,2022-04-10 00:00:00.000,946.6149,15.0719,-574.7632
41,2022-04-06 00:00:00.000,D,13,2022-04-10 00:00:00.000,1010.0368,391.0554,-666.1528
42,2022-04-06 00:00:00.000,D,27,2022-04-10 00:00:00.000,963.0501,799.1958,198.0103
43,2022-04-06 00:00:00.000,D,3,2022-04-11 00:00:00.000,256.032,926.2978,452.6559
